0	A
1	A
2	A
3	?
4	A
5	[Amanda Knox]
6	C
7	A
8	A
9	A
10	D
11	B
12	B
13	C
14	A
15	A
16	A
17	[Her]
18	C
19	A
20	E
21	A
22	D
23	A
24	A
25	[e5]
26	A
27	B
28	A
29	B
30	B
31	A
32	A
33	A
34	A
35	A
36	A
37	C
38	A
39	A
40	D
41	A
42	A
43	A
44	C
45	B
46	A
47	A
48	D
49	A
50	A
51	A
52	C
53	A
54	B
55	C
56	A
57	A
58	A
59	[ALICO]
60	A
61	A
62	C
63	A
64	A
65	[ALICO]
66	A
67	B
68	B
69	A
70	A
71	A
72	A
73	A
74	A
75	A
76	C
77	B
78	[Lange]
79	[George Sodini]
80	B
81	A
82	A
83	A
84	C
85	A
86	C
87	A
88	A
89	A
90	A
91	[TPI]
92	A
93	B
94	A
95	B
96	A
97	A
98	B
99	A
100	A
101	A
102	C
103	B
104	[Ruben van Assouw]
105	[she]
106	B
107	A
108	A
109	D
110	B
111	C
112	C
113	A
114	A
115	A
116	A
117	B
118	A
119	B
120	A
121	A
122	A
123	A
124	A
125	C
126	A
127	A
128	A
129	C
130	C
131	A
132	C
133	A
134	B
135	C
136	?
137	A
138	A
139	A
140	A
141	C
142	A
143	A
144	[Jamie Leigh Jones]
145	B
146	A
147	A
148	D
149	A
150	C
151	B
152	A
153	[Semen Gresik]
154	A
155	C
156	B
157	A
158	E
159	C
160	A
161	D
162	A
163	C
164	A
165	A
166	C
167	[Wen]
168	B
169	A
170	D
171	A
172	C
173	D
174	A
175	A
176	A
177	B
178	B
179	C
180	A
181	A
182	[Countrywide]
183	A
184	A
185	A
186	B
187	C
188	C
189	C
190	A
191	A
192	C
193	[Silsby]
194	C
195	C
196	B
197	A
198	A
199	C
200	A
201	A
202	C
203	C
204	A
205	A
206	C
207	A
208	A
209	D
210	B
211	C
212	A
213	C
214	B
215	A
216	A
217	A
218	C
219	C
220	B
221	A
222	C
223	A
224	C
225	A
226	C
227	C
228	A
229	A
230	C
231	B
232	A
233	A
234	C
235	[Chiafari]
236	A
237	C
238	[ERP]
239	A
240	C
241	B
